GEOID,FID,Name,Zone,Source,Shape_Leng,Shape_Area
1500000US220330022002016,582,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,162.4271275,31.25029542
1500000US220330022002017,583,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,85618.17935,10438058.59
1500000US220330022002018,584,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,14669.41006,1212524.122
1500000US220330022002019,585,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,1545.783658,9427.167191
1500000US220330022002020,586,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,400.2437994,1612.091708
1500000US220330022002021,587,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,349.9141266,1579.466515
1500000US220330022002022,588,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,1479.222311,56740.95394
1500000US220330022002023,589,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,447.3249718,2866.251999
1500000US220330022002024,590,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,530.8011017,7451.509174
1500000US220330022002025,591,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,13112.64909,281317.5921
1500000US220330022002026,592,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,15051.11623,585520.2732
1500000US220330022002027,593,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,70067.45808,9719658.848
1500000US220330022002028,594,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,253.375887,1161.611381
1500000US220330022002029,595,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,23.51062986,7.097456138
1500000US220330022002030,596,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,16545.26426,99240.35676
1500000US220330022002031,597,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,439.5324644,979.0058651
1500000US220330022002032,598,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,1379.422879,3070.218446
1500000US220330022002033,599,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,54.06699359,64.0993818
1500000US220330022002034,600,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,596.0155862,2249.924966
1500000US220330022002035,601,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,272.8409946,975.3602204
1500000US220330022002036,602,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,388.7331678,613.4495462
1500000US220330022002037,1935,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,102698.649,28808982.91
1500000US220330022002038,1936,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,317661.2667,26321098.68
1500000US220330022002039,1937,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,1166776.184,260062310.8
1500000US220330022002040,1938,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,304469.9569,42578109.9
1500000US220330022002041,1939,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,140623.6446,32862440.55
1500000US220330022002042,1940,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,69844.97034,654307.5537
1500000US220330022002043,1941,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,49933.17726,372964.8602
