"GEOID","NAME","total_popE","total_popM","whiteE","whiteM","blackE","blackM","american_indianE","american_indianM","asianE","asianM","native_hawaiianE","native_hawaiianM","otherE","otherM","two_or_moreE","two_or_moreM"
"40","22033003507","Census Tract 35.07, East Baton Rouge Parish, Louisiana",4826,583,515,138,4210,575,1,3,43,53,0,13,26,44,31,52
"41","22033003601","Census Tract 36.01, East Baton Rouge Parish, Louisiana",3292,549,715,245,1883,461,50,73,518,342,0,13,109,123,17,31
"42","22033003603","Census Tract 36.03, East Baton Rouge Parish, Louisiana",2293,476,632,237,1591,458,0,13,9,11,0,13,36,42,25,29
"43","22033003604","Census Tract 36.04, East Baton Rouge Parish, Louisiana",5716,992,762,374,3751,689,147,217,269,291,0,18,768,788,19,42
"44","22033003701","Census Tract 37.01, East Baton Rouge Parish, Louisiana",6538,828,3805,441,2013,700,0,18,418,307,0,18,55,81,247,227
"45","22033003702","Census Tract 37.02, East Baton Rouge Parish, Louisiana",3696,490,2011,476,1373,440,2,4,256,318,0,13,5,13,49,47
"46","22033003703","Census Tract 37.03, East Baton Rouge Parish, Louisiana",6117,624,2517,469,2507,493,109,153,899,392,0,18,0,18,85,108
"47","22033003801","Census Tract 38.01, East Baton Rouge Parish, Louisiana",7465,787,4959,602,2488,613,0,18,5,18,0,18,0,18,13,22
"48","22033003802","Census Tract 38.02, East Baton Rouge Parish, Louisiana",5558,535,4005,456,1124,498,31,52,61,57,0,18,61,74,276,153
"49","22033003804","Census Tract 38.04, East Baton Rouge Parish, Louisiana",4447,583,3282,450,443,251,0,13,350,264,0,13,143,242,229,157
"50","22033003805","Census Tract 38.05, East Baton Rouge Parish, Louisiana",6790,561,5109,371,1456,398,0,18,149,194,0,18,0,18,76,82
"51","22033003904","Census Tract 39.04, East Baton Rouge Parish, Louisiana",6145,677,2328,380,3479,689,0,18,106,136,0,18,128,143,104,127
"52","22033003906","Census Tract 39.06, East Baton Rouge Parish, Louisiana",8989,565,6323,541,1796,539,15,25,603,170,0,18,28,50,224,185
"53","22033003907","Census Tract 39.07, East Baton Rouge Parish, Louisiana",5919,478,3587,669,2119,763,0,18,137,146,0,18,0,18,76,101
"54","22033003908","Census Tract 39.08, East Baton Rouge Parish, Louisiana",3833,409,2444,292,901,368,0,13,377,247,0,13,5,7,106,81
"55","22033003909","Census Tract 39.09, East Baton Rouge Parish, Louisiana",5231,931,2636,471,2089,993,21,35,264,210,0,18,75,114,146,171
"56","22033003910","Census Tract 39.10, East Baton Rouge Parish, Louisiana",3040,475,1014,283,1291,321,0,13,11,18,0,13,577,325,147,161
"57","22033004005","Census Tract 40.05, East Baton Rouge Parish, Louisiana",6064,813,2182,394,3425,583,29,46,360,279,0,18,8,16,60,65
"58","22033004006","Census Tract 40.06, East Baton Rouge Parish, Louisiana",8326,863,6725,591,917,513,0,18,323,212,0,18,38,45,323,192
"59","22033004009","Census Tract 40.09, East Baton Rouge Parish, Louisiana",9306,840,4955,532,2932,691,19,32,677,315,0,18,394,357,329,289
"60","22033004010","Census Tract 40.10, East Baton Rouge Parish, Louisiana",4744,424,3618,407,412,200,0,13,454,425,0,13,84,99,176,145
"61","22033004011","Census Tract 40.11, East Baton Rouge Parish, Louisiana",7048,967,3364,566,2394,769,59,97,269,279,0,18,826,422,136,107
"62","22033004013","Census Tract 40.13, East Baton Rouge Parish, Louisiana",3028,557,1278,390,1019,467,14,22,262,264,132,191,63,69,260,297
"63","22033004014","Census Tract 40.14, East Baton Rouge Parish, Louisiana",10563,1341,8296,1246,1366,578,0,20,551,364,0,20,7,13,343,294
"64","22033004015","Census Tract 40.15, East Baton Rouge Parish, Louisiana",7564,912,2347,505,4529,675,0,18,10,17,0,18,476,377,202,188
"65","22033004016","Census Tract 40.16, East Baton Rouge Parish, Louisiana",10218,840,8615,901,728,180,0,20,677,288,0,20,19,31,179,155
"66","22033004201","Census Tract 42.01, East Baton Rouge Parish, Louisiana",6298,934,653,298,5593,903,0,18,52,73,0,18,0,18,0,18
"67","22033004203","Census Tract 42.03, East Baton Rouge Parish, Louisiana",2981,431,487,83,2398,410,0,13,3,8,0,13,48,59,45,59
"68","22033004204","Census Tract 42.04, East Baton Rouge Parish, Louisiana",3965,542,713,129,3224,534,10,19,0,13,0,13,3,5,15,18
"69","22033004205","Census Tract 42.05, East Baton Rouge Parish, Louisiana",5958,660,886,155,5017,654,0,18,0,18,55,85,0,18,0,18
"70","22033004301","Census Tract 43.01, East Baton Rouge Parish, Louisiana",5984,578,4822,479,762,257,0,18,170,114,0,18,135,183,95,107
"71","22033004302","Census Tract 43.02, East Baton Rouge Parish, Louisiana",6070,467,5889,467,45,72,0,18,46,71,0,18,15,28,75,113
"72","22033004401","Census Tract 44.01, East Baton Rouge Parish, Louisiana",4898,648,4168,668,428,223,0,13,63,63,0,13,175,172,64,70
"73","22033004402","Census Tract 44.02, East Baton Rouge Parish, Louisiana",7029,586,5813,502,1141,344,0,18,0,18,0,18,0,18,75,83
"74","22033004403","Census Tract 44.03, East Baton Rouge Parish, Louisiana",6277,591,5071,616,1127,290,14,23,0,18,0,18,0,18,65,67
"75","22033004503","Census Tract 45.03, East Baton Rouge Parish, Louisiana",5852,1000,1647,467,3048,800,0,18,863,520,0,18,294,285,0,18
"76","22033004504","Census Tract 45.04, East Baton Rouge Parish, Louisiana",6878,884,3574,792,2126,702,0,18,344,151,0,18,769,445,65,108
"77","22033004505","Census Tract 45.05, East Baton Rouge Parish, Louisiana",7144,777,2897,533,3219,561,0,18,497,249,0,18,278,245,253,251
"78","22033004507","Census Tract 45.07, East Baton Rouge Parish, Louisiana",6032,454,3558,393,1593,470,0,18,539,268,0,18,0,18,342,225
"79","22033004508","Census Tract 45.08, East Baton Rouge Parish, Louisiana",8630,627,6846,534,1099,253,0,18,583,646,0,18,0,18,102,132
"80","22033004509","Census Tract 45.09, East Baton Rouge Parish, Louisiana",7079,769,3891,693,2275,466,0,18,362,311,0,18,0,18,551,557
"81","22033004510","Census Tract 45.10, East Baton Rouge Parish, Louisiana",7875,812,6149,684,1240,686,0,18,153,113,0,18,22,36,311,191
"82","22033004602","Census Tract 46.02, East Baton Rouge Parish, Louisiana",5601,662,2561,440,2866,617,0,18,44,59,0,18,0,18,130,117
"83","22033004603","Census Tract 46.03, East Baton Rouge Parish, Louisiana",5022,595,2312,293,2603,519,0,18,40,38,0,18,0,18,67,79
"84","22033004604","Census Tract 46.04, East Baton Rouge Parish, Louisiana",13031,881,6591,812,5700,887,0,20,155,206,0,20,53,65,532,500
"85","22033004700","Census Tract 47, East Baton Rouge Parish, Louisiana",5502,744,3317,525,2070,755,0,18,71,113,0,18,0,18,44,50
"86","22033004800","Census Tract 48, East Baton Rouge Parish, Louisiana",3777,574,3122,432,474,419,8,14,122,315,0,13,21,24,30,37
"87","22033004900","Census Tract 49, East Baton Rouge Parish, Louisiana",4659,403,4279,434,47,39,33,51,163,226,0,13,119,146,18,30
"88","22033005000","Census Tract 50, East Baton Rouge Parish, Louisiana",3181,339,2507,419,528,381,22,36,82,52,0,13,11,18,31,26
"89","22033005100","Census Tract 51, East Baton Rouge Parish, Louisiana",2776,532,1025,257,1664,561,13,20,9,14,0,13,23,30,42,47
"90","22033005200","Census Tract 52, East Baton Rouge Parish, Louisiana",1883,283,376,76,1454,298,8,13,4,7,0,13,3,5,38,47
"91","22033005300","Census Tract 53, East Baton Rouge Parish, Louisiana",3018,508,533,182,2329,431,11,17,82,62,0,13,4,7,59,61
