id,Geographic Area Name,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Total ,%White ,%Black ,%American Indian,%Asian,%Other
1500000US220330046022,"Block Group 2, Census Tract 46.02, East Baton Rouge Parish, Louisiana",569,637,7,17,0,6,1236,46.03559871,51.53721683,0.566343042,1.375404531,0.485436893
1500000US220330046023,"Block Group 3, Census Tract 46.02, East Baton Rouge Parish, Louisiana",751,1211,3,18,1,6,1990,37.73869347,60.85427136,0.150753769,0.904522613,0.301507538
1500000US220330046031,"Block Group 1, Census Tract 46.03, East Baton Rouge Parish, Louisiana",168,789,0,2,2,7,968,17.3553719,81.50826446,0,0.20661157,0.723140496
1500000US220330046032,"Block Group 2, Census Tract 46.03, East Baton Rouge Parish, Louisiana",917,2103,2,69,0,36,3127,29.32523185,67.25295811,0.063959066,2.206587784,1.151263192
1500000US220330046033,"Block Group 3, Census Tract 46.03, East Baton Rouge Parish, Louisiana",1323,684,6,13,1,9,2036,64.98035363,33.59528487,0.294695481,0.638506876,0.442043222
1500000US220330046051,"Block Group 1, Census Tract 46.05, East Baton Rouge Parish, Louisiana",1231,1089,8,42,0,22,2392,51.4632107,45.52675585,0.334448161,1.755852843,0.919732441
1500000US220330046052,"Block Group 2, Census Tract 46.05, East Baton Rouge Parish, Louisiana",1866,1327,0,34,0,22,3249,57.43305633,40.84333641,0,1.046475839,0.677131425
1500000US220330046053,"Block Group 3, Census Tract 46.05, East Baton Rouge Parish, Louisiana",1025,227,0,14,1,9,1276,80.32915361,17.78996865,0,1.097178683,0.705329154
1500000US220330046061,"Block Group 1, Census Tract 46.06, East Baton Rouge Parish, Louisiana",1594,1768,6,66,0,30,3464,46.01616628,51.03926097,0.173210162,1.905311778,0.866050808
1500000US220330046062,"Block Group 2, Census Tract 46.06, East Baton Rouge Parish, Louisiana",503,106,2,11,0,6,628,80.0955414,16.87898089,0.318471338,1.751592357,0.955414013
1500000US220330046063,"Block Group 3, Census Tract 46.06, East Baton Rouge Parish, Louisiana",1045,430,3,18,0,17,1513,69.06807667,28.42035691,0.19828156,1.189689359,1.123595506
1500000US220330047001,"Block Group 1, Census Tract 47, East Baton Rouge Parish, Louisiana",1191,250,4,1,0,5,1451,82.08132323,17.2294969,0.27567195,0.068917988,0.344589938
1500000US220330047002,"Block Group 2, Census Tract 47, East Baton Rouge Parish, Louisiana",589,461,3,1,0,8,1062,55.4613936,43.4086629,0.282485876,0.094161959,0.753295669
1500000US220330047003,"Block Group 3, Census Tract 47, East Baton Rouge Parish, Louisiana",899,708,11,1,0,24,1643,54.71698113,43.09190505,0.669506999,0.060864273,1.460742544
1500000US220330047004,"Block Group 4, Census Tract 47, East Baton Rouge Parish, Louisiana",980,80,1,3,0,5,1069,91.67446211,7.48362956,0.09354537,0.280636109,0.467726848
1500000US220330048001,"Block Group 1, Census Tract 48, East Baton Rouge Parish, Louisiana",1524,246,1,113,0,23,1907,79.91609858,12.89984268,0.052438385,5.925537493,1.206082853
1500000US220330048002,"Block Group 2, Census Tract 48, East Baton Rouge Parish, Louisiana",675,14,1,18,0,5,713,94.67040673,1.963534362,0.140252454,2.52454418,0.701262272
1500000US220330048003,"Block Group 3, Census Tract 48, East Baton Rouge Parish, Louisiana",812,255,1,89,1,21,1179,68.87192536,21.62849873,0.084817642,7.548770144,1.781170483
1500000US220330049001,"Block Group 1, Census Tract 49, East Baton Rouge Parish, Louisiana",645,167,3,38,0,4,857,75.26254376,19.4865811,0.350058343,4.434072345,0.466744457
1500000US220330049002,"Block Group 2, Census Tract 49, East Baton Rouge Parish, Louisiana",519,27,5,31,0,10,592,87.66891892,4.560810811,0.844594595,5.236486486,1.689189189
1500000US220330049003,"Block Group 3, Census Tract 49, East Baton Rouge Parish, Louisiana",1597,54,0,105,0,11,1767,90.37917374,3.056027165,0,5.942275042,0.622524052
1500000US220330049004,"Block Group 4, Census Tract 49, East Baton Rouge Parish, Louisiana",905,67,1,65,0,9,1047,86.43744031,6.399235912,0.095510984,6.208213945,0.859598854
1500000US220330050001,"Block Group 1, Census Tract 50, East Baton Rouge Parish, Louisiana",1277,49,5,46,1,11,1389,91.93664507,3.527717783,0.359971202,3.311735061,0.791936645
1500000US220330050002,"Block Group 2, Census Tract 50, East Baton Rouge Parish, Louisiana",756,25,0,22,1,7,811,93.21824908,3.082614057,0,2.71270037,0.863131936
1500000US220330050003,"Block Group 3, Census Tract 50, East Baton Rouge Parish, Louisiana",556,85,0,18,0,15,674,82.4925816,12.61127596,0,2.670623145,2.225519288
1500000US220330051001,"Block Group 1, Census Tract 51, East Baton Rouge Parish, Louisiana",15,946,0,0,0,0,961,1.560874089,98.43912591,0,0,0
1500000US220330051002,"Block Group 2, Census Tract 51, East Baton Rouge Parish, Louisiana",105,458,0,6,0,6,575,18.26086957,79.65217391,0,1.043478261,1.043478261
1500000US220330051003,"Block Group 3, Census Tract 51, East Baton Rouge Parish, Louisiana",1073,352,0,69,0,30,1524,70.40682415,23.09711286,0,4.527559055,1.968503937
1500000US220330052001,"Block Group 1, Census Tract 52, East Baton Rouge Parish, Louisiana",40,728,4,2,1,9,784,5.102040816,92.85714286,0.510204082,0.255102041,1.147959184
1500000US220330052002,"Block Group 2, Census Tract 52, East Baton Rouge Parish, Louisiana",480,499,5,30,0,25,1039,46.19826756,48.02694899,0.481231954,2.887391723,2.406159769
1500000US220330053001,"Block Group 1, Census Tract 53, East Baton Rouge Parish, Louisiana",46,588,0,2,2,5,643,7.153965785,91.44634526,0,0.311041991,0.777604977
1500000US220330053002,"Block Group 2, Census Tract 53, East Baton Rouge Parish, Louisiana",332,637,1,11,2,11,994,33.40040241,64.08450704,0.100603622,1.106639839,1.106639839
1500000US220330053003,"Block Group 3, Census Tract 53, East Baton Rouge Parish, Louisiana",255,1173,8,20,7,16,1479,17.24137931,79.31034483,0.540906018,1.352265044,1.081812035
